order_id,date,customer_id,product_id,quantity,unit_price,total_amount,payment_method,status,province,city
10000,2023-01-01,280,27,1,747.91,747.91,支付宝,已完成,河南,郑州市
10001,2023-01-01,24,42,1,149.33,149.33,微信支付,已完成,广东,东莞市
10002,2023-01-01,181,23,2,212.08,424.16,微信支付,已退货,北京,北京市
10003,2023-01-02,313,6,1,56.78,56.78,银行卡,已完成,河南,郑州市
10004,2023-01-02,422,21,1,110.66,110.66,银行卡,已完成,北京,北京市
10005,2023-01-03,303,4,2,94.26,188.52,银行卡,已完成,江苏,苏州市
10006,2023-01-03,239,41,1,584.82,584.82,支付宝,已完成,重庆,重庆市
10007,2023-01-04,25,48,1,481.34,481.34,支付宝,已完成,重庆,重庆市
10008,2023-01-04,228,39,1,299.65,299.65,支付宝,已完成,河南,郑州市
10009,2023-01-04,456,49,1,322.97,322.97,支付宝,已取消,江苏,南京市
10010,2023-01-05,32,34,1,141.4,141.4,银行卡,已取消,湖北,宜昌市
10011,2023-01-05,214,17,1,104.07,104.07,微信支付,已完成,山东,青岛市
10012,2023-01-05,357,38,1,469.43,469.43,银行卡,已完成,重庆,重庆市
10013,2023-01-06,81,41,1,584.82,584.82,银行卡,已完成,安徽,芜湖市
10014,2023-01-06,379,6,2,67.43,134.86,银行卡,已退货,广东,佛山市
10015,2023-01-06,81,34,1,148.84,148.84,微信支付,已完成,安徽,芜湖市
10016,2023-01-07,262,20,3,352.55,1057.65,银行卡,已完成,四川,绵阳市
10017,2023-01-07,76,48,1,409.14,409.14,微信支付,已完成,河南,郑州市
10018,2023-01-07,451,26,1,646.06,646.06,花呗分期,已完成,河南,郑州市
10019,2023-01-07,402,49,1,290.67,290.67,花呗分期,已取消,陕西,西安市
10020,2023-01-08,289,14,1,157.23,157.23,花呗分期,已完成,重庆,重庆市
10021,2023-01-08,390,33,2,208.58,417.16,微信支付,已完成,陕西,西安市
10022,2023-01-08,283,16,2,295.77,591.54,花呗分期,已完成,重庆,重庆市
10023,2023-01-08,147,12,1,160.04,160.04,微信支付,已完成,安徽,合肥市
10024,2023-01-08,95,4,1,94.26,94.26,支付宝,已完成,上海,上海市
10025,2023-01-08,313,37,1,54.37,54.37,银行卡,已完成,河南,郑州市
10026,2023-01-09,114,16,3,280.98,842.94,花呗分期,已完成,安徽,芜湖市
10027,2023-01-09,124,33,1,208.58,208.58,银行卡,已完成,北京,北京市
10028,2023-01-09,283,12,1,188.28,188.28,微信支付,已完成,重庆,重庆市
10029,2023-01-09,118,33,1,208.58,208.58,银行卡,已完成,浙江,温州市
10030,2023-01-10,197,2,1,494.46,494.46,微信支付,已完成,北京,北京市
10031,2023-01-10,182,7,1,409.62,409.62,银行卡,已完成,上海,上海市
10032,2023-01-11,477,20,1,414.76,414.76,支付宝,已退货,四川,绵阳市
10033,2023-01-11,57,8,1,106.11,106.11,微信支付,已完成,安徽,合肥市
10034,2023-01-11,6,5,3,422.57,1267.71,支付宝,已取消,江苏,无锡市
10035,2023-01-12,468,41,1,555.58,555.58,银行卡,已完成,山东,青岛市
